"record_id","redcap_event_name","redcap_repeat_instrument","redcap_repeat_instance","author","pub_yr","isolate_yr","who","country","count","mic50_1","mic90_1","micnos_1","micnos_q90","alpha_3_code","alpha_2_code","numeric","economy","income_group","redcap_number","median_year","med_grp","midpoint_year","midpoint_grp","mean_year","mean_grp"
4,"mic_data_extractio_arm_1","mic_data_extraction",2,"Beekmann",2005,2003,4,"Switzerland",7,NA,0.015,NA,NA,"CHE","CH",756,"Switzerland","High income",216,2001.5,2,2001.5,2,2001,"2"
NA,NA,NA,NA,"Beekmann",2005,2003,4,"France",101,NA,0.015,NA,NA,"FRA","FR",250,"France","High income",76,2000,2,2003,1,2001,"2"
NA,NA,NA,NA,"Beekmann",2005,2003,4,"Spain",229,NA,0.015,NA,NA,"ESP","ES",724,"Spain","High income",209,2000,2,2004,1,2001,"2"
NA,NA,NA,NA,"Beekmann",2005,2003,4,"Poland",95,NA,0.015,NA,NA,"POL","PL",616,"Poland","High income",177,2001,2,2001,2,2001,"2"
NA,NA,NA,NA,"Beekmann",2005,2003,4,"Slovakia",97,NA,0.015,NA,NA,"SVK","SK",703,"Slovak Republic","High income",202,2003,1,2003,1,2003,"1"
NA,NA,NA,NA,"Beekmann",2005,2003,4,"Hungary",315,NA,0.015,NA,NA,"HUN","HU",348,"Hungary","High income",101,2000,2,2001.5,2,2001,"2"
NA,NA,NA,NA,"Beekmann",2005,2003,4,"Croatia",94,NA,0.015,NA,NA,"HRV","HR",191,"Croatia","High income",56,2003,1,2003,1,2003,"1"
4,"mic_data_extractio_arm_1","mic_data_extraction",3,"Beekmann",2005,2003,4,"Slovenia",99,NA,0.015,NA,NA,"SVN","SI",705,"Slovenia","High income",203,2003,1,2003,1,2003,"1"
NA,NA,NA,NA,"Beekmann",2005,2003,4,"Italy",246,NA,0.015,NA,NA,"ITA","IT",380,"Italy","High income",110,2000,2,2001,2,2000,"2"
NA,NA,NA,NA,"Beekmann",2005,2003,4,"Greece",55,NA,0.015,NA,NA,"GRC","GR",300,"Greece","High income",86,1999,2,1998,2,1998,"2"
NA,NA,NA,NA,"Beekmann",2005,2003,6,"Hong Kong",26,NA,0.015,NA,NA,"HKG","HK",344,"Hong Kong SAR, China","High income",100,2001.5,2,2001.5,2,2001,"2"
NA,NA,NA,NA,"Beekmann",2005,2003,6,"Singapore",63,NA,0.015,NA,NA,"SGP","SG",702,"Singapore","High income",200,2003,1,2003,1,2003,"1"
NA,NA,NA,NA,"Beekmann",2005,2003,1,"South Africa",170,NA,0.015,NA,NA,"ZAF","ZA",710,"South Africa","Upper middle income",206,2003,1,2003,1,2003,"1"
6,"mic_data_extractio_arm_1","mic_data_extraction",1,"Berger-Jekic",1997,1987,4,"Serbia",1879,0.015,0.03,NA,NA,"SRB","RS",688,"Serbia","Upper middle income",197,1987,1,1989.5,1,1988,"1"
7,"mic_data_extractio_arm_1","mic_data_extraction",1,"Betriu",2000,2000,4,"Spain",117,0.008,0.01,NA,NA,"ESP","ES",724,"Spain","High income",209,2000,1,2004,1,2001,"1"
8,"mic_data_extractio_arm_1","mic_data_extraction",1,"Blondeau",1999,1996,2,"Canada",1003,0.016,0.023,NA,NA,"CAN","CA",124,"Canada","High income",40,1999,1,1997,1,1998,"1"
9,"mic_data_extractio_arm_1","mic_data_extraction",1,"Buxbaum",2004,1996,4,"Austria",64,0.01,0.03,NA,NA,"AUT","AT",40,"Austria","High income",15,2000,1,1999,1,1999,"1"
NA,NA,NA,NA,"Buxbaum",2004,1998,4,"Austria",62,0.01,0.03,NA,NA,"AUT","AT",40,"Austria","High income",15,2000,1,1999,1,1999,"1"
NA,NA,NA,NA,"Buxbaum",2004,2000,4,"Austria",150,0.01,0.03,NA,NA,"AUT","AT",40,"Austria","High income",15,2000,1,1999,2,1999,"2"
NA,NA,NA,NA,"Buxbaum",2004,2002,4,"Austria",223,0.01,0.03,NA,NA,"AUT","AT",40,"Austria","High income",15,2000,2,1999,2,1999,"2"
10,"mic_data_extractio_arm_1","mic_data_extraction",1,"Buxbaum",2003,2001,4,"Austria",223,0.015,0.03,NA,NA,"AUT","AT",40,"Austria","High income",15,2000,2,1999,2,1999,"2"
11,"mic_data_extractio_arm_1","mic_data_extraction",1,"Calvo",2003,1999,4,"Spain",210,0.06,0.06,NA,NA,"ESP","ES",724,"Spain","High income",209,2000,1,2004,1,2001,"1"
12,"mic_data_extractio_arm_1","mic_data_extraction",1,"Campbell",1996,1994,2,"United States Of America (The)",4,NA,0.008,NA,NA,"USA","US",840,"United States","High income",236,1995,1,1972.5,2,1988,"2"
15,"mic_data_extractio_arm_1","mic_data_extraction",1,"Chazan",2015,2011,4,"Israel",208,NA,0.09,NA,NA,"ISR","IL",376,"Israel","High income",109,2011,1,2011,1,2011,"1"
NA,NA,NA,NA,"Chazan",2015,2011,4,"Israel",92,NA,0.01,NA,NA,"ISR","IL",376,"Israel","High income",109,2011,1,2011,1,2011,"1"
17,"mic_data_extractio_arm_1","mic_data_extraction",1,"Coonan",1994,1990,2,"United States Of America (The)",282,0.006,0.012,NA,NA,"USA","US",840,"United States","High income",236,1995,1,1972.5,2,1988,"2"
NA,NA,NA,NA,"Coonan",1994,1990,2,"United States Of America (The)",43,0.0078,0.0078,NA,NA,"USA","US",840,"United States","High income",236,1995,1,1972.5,2,1988,"2"
18,"mic_data_extractio_arm_1","mic_data_extraction",1,"de Almeida Torres",2011,2001,2,"Brazil",1112,0.015,0.03,NA,NA,"BRA","BR",76,"Brazil","Upper middle income",32,2001,1,1995.5,2,1999,"2"
19,"mic_data_extractio_arm_1","mic_data_extraction",1,"d'Humi�res",2012,2010,4,"France",9,0.008,0.008,NA,NA,"FRA","FR",250,"France","High income",76,2000,2,2003,2,2001,"2"
NA,NA,NA,NA,"d'Humi�res",2012,2010,4,"France",10,0.006,0.008,NA,NA,"FRA","FR",250,"France","High income",76,2000,2,2003,2,2001,"2"
20,"mic_data_extractio_arm_1","mic_data_extraction",1,"Dohar",2004,2001,NA,"Multiple",39,0.008,0.008,NA,NA,NA,NA,NA,NA,NA,NA,2001,1,2008,1,2004,"1"
21,"mic_data_extractio_arm_1","mic_data_extraction",1,"Felmingham",2004,1999,NA,"Multiple",640,0.008,0.008,NA,NA,NA,NA,NA,NA,NA,NA,2001,1,2008,1,2004,"1"
22,"mic_data_extractio_arm_1","mic_data_extraction",1,"Forsgren",1994,1986,4,"Sweden",100,0.015,0.015,NA,NA,"SWE","SE",752,"Sweden","High income",215,2000,1,1996.5,1,1999,"1"
23,"mic_data_extractio_arm_1","mic_data_extraction",1,"Gattringer",2004,2000,4,"Austria",150,0.015,0.03,NA,NA,"AUT","AT",40,"Austria","High income",15,2000,1,1999,2,1999,"2"
NA,NA,NA,NA,"Gattringer",2004,2000,4,"Hungary",191,0.015,0.03,NA,NA,"HUN","HU",348,"Hungary","High income",101,2000,1,2001.5,1,2001,"1"
24,"mic_data_extractio_arm_1","mic_data_extraction",1,"Gene",1998,1997,4,"Spain",100,0.012,0.016,NA,NA,"ESP","ES",724,"Spain","High income",209,2000,1,2004,1,2001,"1"
27,"mic_data_extractio_arm_1","mic_data_extraction",1,"Ikebe",2015,2011,6,"Japan",249,0.008,0.008,NA,NA,"JPN","JP",392,"Japan","High income",112,2000,2,1992.5,2,1997,"2"
29,"mic_data_extractio_arm_1","mic_data_extraction",1,"Inoue",2005,1999,6,"Japan",120,NA,0.008,NA,NA,"JPN","JP",392,"Japan","High income",112,2000,1,1992.5,2,1997,"2"
30,"mic_data_extractio_arm_1","mic_data_extraction",1,"Inoue",2006,2000,6,"Japan",161,0.008,0.008,NA,NA,"JPN","JP",392,"Japan","High income",112,2000,1,1992.5,2,1997,"2"
NA,NA,NA,NA,"Inoue",2006,2001,6,"Japan",182,0.008,0.008,NA,NA,"JPN","JP",392,"Japan","High income",112,2000,2,1992.5,2,1997,"2"
31,"mic_data_extractio_arm_1","mic_data_extraction",1,"Kaplan",1999,1995,2,"United States Of America (The)",301,NA,0.016,NA,NA,"USA","US",840,"United States","High income",236,1995,1,1972.5,2,1988,"2"
33,"mic_data_extractio_arm_1","mic_data_extraction",1,"King",2001,1995,4,"United Kingdom Of Great Britain And Northern Ireland (The)",50,0.008,0.016,NA,NA,"GBR","GB",826,"United Kingdom","High income",235,2000.5,1,2005.5,1,2001,"1"
34,"mic_data_extractio_arm_1","mic_data_extraction",1,"Koeth",2004,2000,4,"Italy",64,0.015,0.015,NA,NA,"ITA","IT",380,"Italy","High income",110,2000,1,2001,1,2000,"1"
NA,NA,NA,NA,"Koeth",2004,2000,4,"Spain",47,0.015,0.015,NA,NA,"ESP","ES",724,"Spain","High income",209,2000,1,2004,1,2001,"1"
NA,NA,NA,NA,"Koeth",2004,2000,4,"Belgium",50,0.015,0.015,NA,NA,"BEL","BE",56,"Belgium","High income",22,2000,1,2001,1,2000,"1"
NA,NA,NA,NA,"Koeth",2004,2000,4,"France",51,0.015,0.015,NA,NA,"FRA","FR",250,"France","High income",76,2000,1,2003,1,2001,"1"
NA,NA,NA,NA,"Koeth",2004,2000,2,"Mexico",47,0.015,0.015,NA,NA,"MEX","MX",484,"Mexico","Upper middle income",144,2000,1,2000.5,1,2000,"1"
NA,NA,NA,NA,"Koeth",2004,2000,4,"Germany",50,0.015,0.015,NA,NA,"DEU","DE",276,"Germany","High income",83,2000,1,1997,2,1999,"2"
NA,NA,NA,NA,"Koeth",2004,2000,4,"Sweden",47,0.015,0.015,NA,NA,"SWE","SE",752,"Sweden","High income",215,2000,1,1996.5,2,1999,"2"
34,"mic_data_extractio_arm_1","mic_data_extraction",2,"Koeth",2004,2000,2,"United States Of America (The)",135,0.015,0.015,NA,NA,"USA","US",840,"United States","High income",236,1995,2,1972.5,2,1988,"2"
NA,NA,NA,NA,"Koeth",2004,2000,6,"Australia",53,0.015,0.015,NA,NA,"AUS","AU",36,"Australia","High income",14,2000,1,1999,2,1999,"2"
NA,NA,NA,NA,"Koeth",2004,2000,2,"Canada",50,0.015,0.015,NA,NA,"CAN","CA",124,"Canada","High income",40,1999,2,1997,2,1998,"2"
NA,NA,NA,NA,"Koeth",2004,2000,4,"Netherlands (Kingdom Of The)",49,0.015,0.015,NA,NA,"NLD","NL",528,"Netherlands","High income",157,2000,1,2001.5,1,2001,"1"
36,"mic_data_extractio_arm_1","mic_data_extraction",1,"Lehtonen",1993,1993,4,"Finland",151,0.016,0.03,NA,NA,"FIN","FI",246,"Finland","High income",75,2007,1,2004,1,2005,"1"
37,"mic_data_extractio_arm_1","mic_data_extraction",1,"Limia",1998,1994,4,"Spain",70,0.008,0.008,NA,NA,"ESP","ES",724,"Spain","High income",209,2000,1,2004,1,2001,"1"
38,"mic_data_extractio_arm_1","mic_data_extraction",1,"Lopardo",1997,1994,2,"Argentina",595,0.007,0.03,NA,NA,"ARG","AR",32,"Argentina","Upper middle income",11,1999,1,1998,1,1998,"1"
39,"mic_data_extractio_arm_1","mic_data_extraction",1,"Macris",1998,1928,2,"United States Of America (The)",8,NA,0.016,NA,NA,"USA","US",840,"United States","High income",236,1995,1,1972.5,1,1988,"1"
NA,NA,NA,NA,"Macris",1998,1950,2,"United States Of America (The)",8,NA,0.016,NA,NA,"USA","US",840,"United States","High income",236,1995,1,1972.5,1,1988,"1"
NA,NA,NA,NA,"Macris",1998,1970,2,"United States Of America (The)",10,NA,0.032,NA,NA,"USA","US",840,"United States","High income",236,1995,1,1972.5,1,1988,"1"
NA,NA,NA,NA,"Macris",1998,1988,2,"United States Of America (The)",6,NA,0.023,NA,NA,"USA","US",840,"United States","High income",236,1995,1,1972.5,2,1988,"1"
39,"mic_data_extractio_arm_1","mic_data_extraction",2,"Macris",1998,1928,2,"United States Of America (The)",21,NA,0.031,NA,NA,"USA","US",840,"United States","High income",236,1995,1,1972.5,1,1988,"1"
NA,NA,NA,NA,"Macris",1998,1950,2,"United States Of America (The)",29,NA,0.031,NA,NA,"USA","US",840,"United States","High income",236,1995,1,1972.5,1,1988,"1"
NA,NA,NA,NA,"Macris",1998,1970,2,"United States Of America (The)",24,NA,0.031,NA,NA,"USA","US",840,"United States","High income",236,1995,1,1972.5,1,1988,"1"
NA,NA,NA,NA,"Macris",1998,1988,2,"United States Of America (The)",59,NA,0.031,NA,NA,"USA","US",840,"United States","High income",236,1995,1,1972.5,2,1988,"1"
40,"mic_data_extractio_arm_1","mic_data_extraction",1,"Malhotra-Kumar",2003,2002,4,"Belgium",16,NA,0.01,NA,NA,"BEL","BE",56,"Belgium","High income",22,2000,2,2001,2,2000,"2"
41,"mic_data_extractio_arm_1","mic_data_extraction",1,"Marchese",2004,2001,4,"Italy",60,0.015,0.03,NA,NA,"ITA","IT",380,"Italy","High income",110,2000,2,2001,1,2000,"2"
NA,NA,NA,NA,"Marchese",2004,2001,4,"Italy",40,0.0075,0.0075,NA,NA,"ITA","IT",380,"Italy","High income",110,2000,2,2001,1,2000,"2"
42,"mic_data_extractio_arm_1","mic_data_extraction",1,"Mariani-Kurkdjian",2003,2002,4,"France",93,0.016,0.016,NA,NA,"FRA","FR",250,"France","High income",76,2000,2,2003,1,2001,"2"
43,"mic_data_extractio_arm_1","mic_data_extraction",1,"Melo-Cristino",1999,1998,4,"Portugal",302,0.008,0.012,NA,NA,"PRT","PT",620,"Portugal","High income",178,2000,1,1999,1,1999,"1"
44,"mic_data_extractio_arm_1","mic_data_extraction",1,"Melo-Cristino",2001,2000,4,"Portugal",213,0.012,0.016,NA,NA,"PRT","PT",620,"Portugal","High income",178,2000,1,1999,2,1999,"2"
45,"mic_data_extractio_arm_1","mic_data_extraction",1,"Morosini",2003,2000,4,"Spain",412,0.01,0.01,NA,NA,"ESP","ES",724,"Spain","High income",209,2000,1,2004,1,2001,"1"
50,"mic_data_extractio_arm_1","mic_data_extraction",1,"Ndiaye",2009,2007,1,"Senegal",100,0.016,0.023,NA,NA,"SEN","SN",686,"Senegal","Lower middle income",196,2007,1,2007,1,2007,"1"
51,"mic_data_extractio_arm_1","mic_data_extraction",1,"Nunes De Melo",2003,1987,2,"Brazil",211,0.01,0.01,NA,NA,"BRA","BR",76,"Brazil","Upper middle income",32,2001,1,1995.5,1,1999,"1"
52,"mic_data_extractio_arm_1","mic_data_extraction",1,"Pfaller",1997,1995,2,"United States Of America (The)",12,0.012,0.012,NA,NA,"USA","US",840,"United States","High income",236,1995,1,1972.5,2,1988,"2"
53,"mic_data_extractio_arm_1","mic_data_extraction",1,"Pfaller",2020,2017,2,"United States Of America (The)",272,0.008,0.015,NA,NA,"USA","US",840,"United States","High income",236,1995,2,1972.5,2,1988,"2"
NA,NA,NA,NA,"Pfaller",2020,2017,4,"Unknown",272,0.008,0.015,NA,NA,NA,NA,NA,NA,NA,NA,2001,2,2008,2,2004,"2"
54,"mic_data_extractio_arm_1","mic_data_extraction",1,"Putnam",2000,1995,2,"United States Of America (The)",22,0.016,0.125,NA,NA,"USA","US",840,"United States","High income",236,1995,1,1972.5,2,1988,"2"
55,"mic_data_extractio_arm_1","mic_data_extraction",1,"Ranin",1993,1984,4,"Serbia",1234,0.015,0.03,NA,NA,"SRB","RS",688,"Serbia","Upper middle income",197,1987,1,1989.5,1,1988,"1"
56,"mic_data_extractio_arm_1","mic_data_extraction",1,"Ranin",2004,1995,4,"Serbia",2169,0.015,0.03,NA,NA,"SRB","RS",688,"Serbia","Upper middle income",197,1987,2,1989.5,2,1988,"2"
58,"mic_data_extractio_arm_1","mic_data_extraction",1,"Richter",2005,2003,2,"United States Of America (The)",1885,0.008,0.015,NA,NA,"USA","US",840,"United States","High income",236,1995,2,1972.5,2,1988,"2"
59,"mic_data_extractio_arm_1","mic_data_extraction",1,"Sakata",2008,2006,6,"Japan",367,NA,0.008,NA,NA,"JPN","JP",392,"Japan","High income",112,2000,2,1992.5,2,1997,"2"
61,"mic_data_extractio_arm_1","mic_data_extraction",1,"Sauermann",2003,2000,4,"Germany",540,0.015,0.03,NA,NA,"DEU","DE",276,"Germany","High income",83,2000,1,1997,2,1999,"2"
62,"mic_data_extractio_arm_1","mic_data_extraction",1,"Schito",2002,1999,4,"Austria",137,NA,0.03,NA,NA,"AUT","AT",40,"Austria","High income",15,2000,1,1999,1,1999,"1"
NA,NA,NA,NA,"Schito",2002,1999,4,"Spain",137,NA,0.06,NA,NA,"ESP","ES",724,"Spain","High income",209,2000,1,2004,1,2001,"1"
63,"mic_data_extractio_arm_1","mic_data_extraction",1,"Sefton",1996,1996,4,"United Kingdom Of Great Britain And Northern Ireland (The)",40,0.015,0.015,NA,NA,"GBR","GB",826,"United Kingdom","High income",235,2000.5,1,2005.5,1,2001,"1"
64,"mic_data_extractio_arm_1","mic_data_extraction",1,"Shackcloth",2004,2001,4,"United Kingdom Of Great Britain And Northern Ireland (The)",34,0.008,0.008,NA,NA,"GBR","GB",826,"United Kingdom","High income",235,2000.5,2,2005.5,1,2001,"1"
65,"mic_data_extractio_arm_1","mic_data_extraction",1,"Skoczynska",2007,2003,4,"Poland",302,0.0075,0.015,NA,NA,"POL","PL",616,"Poland","High income",177,2001,2,2001,2,2001,"2"
69,"mic_data_extractio_arm_1","mic_data_extraction",1,"Stefani",2008,2007,4,"Italy",252,0.03,0.06,NA,NA,"ITA","IT",380,"Italy","High income",110,2000,2,2001,2,2000,"2"
72,"mic_data_extractio_arm_1","mic_data_extraction",1,"Syrogiannopoulos",2001,1999,4,"Greece",274,0.008,0.008,NA,NA,"GRC","GR",300,"Greece","High income",86,1999,1,1998,2,1998,"2"
73,"mic_data_extractio_arm_1","mic_data_extraction",1,"Szczypa",2006,2001,4,"Poland",41,0.008,0.015,NA,NA,"POL","PL",616,"Poland","High income",177,2001,1,2001,1,2001,"1"
75,"mic_data_extractio_arm_1","mic_data_extraction",1,"Tempera",2010,2009,4,"Italy",225,0.03,0.06,NA,NA,"ITA","IT",380,"Italy","High income",110,2000,2,2001,2,2000,"2"
76,"mic_data_extractio_arm_1","mic_data_extraction",1,"Torres",2011,2001,2,"Brazil",1112,0.015,0.03,NA,NA,"BRA","BR",76,"Brazil","Upper middle income",32,2001,1,1995.5,2,1999,"2"
78,"mic_data_extractio_arm_1","mic_data_extraction",1,"Traverso",2010,2002,2,"Argentina",10,NA,0.007,NA,NA,"ARG","AR",32,"Argentina","Upper middle income",11,1999,2,1998,2,1998,"2"
81,"mic_data_extractio_arm_1","mic_data_extraction",1,"Villalon",2021,2013,4,"Spain",1893,NA,0.032,NA,NA,"ESP","ES",724,"Spain","High income",209,2000,2,2004,2,2001,"2"
82,"mic_data_extractio_arm_1","mic_data_extraction",1,"Villalon",2023,2014,4,"Spain",1983,0.016,0.023,NA,NA,"ESP","ES",724,"Spain","High income",209,2000,2,2004,2,2001,"2"
83,"mic_data_extractio_arm_1","mic_data_extraction",1,"Wajima",2014,2012,6,"Japan",363,0.016,0.016,NA,NA,"JPN","JP",392,"Japan","High income",112,2000,2,1992.5,2,1997,"2"
84,"mic_data_extractio_arm_1","mic_data_extraction",1,"Yu",2021,2017,6,"China",342,0.004,0.008,NA,NA,"CHN","CN",156,"China","Upper middle income",46,2008,2,2012,2,2010,"2"
85,"mic_data_extractio_arm_1","mic_data_extraction",1,"Zhou",2013,2009,6,"China",20,0.015,0.015,NA,NA,"CHN","CN",156,"China","Upper middle income",46,2008,2,2012,1,2010,"1"
87,"mic_data_extractio_arm_1","mic_data_extraction",1,"Abraham",2018,2015,5,"India",206,0.016,0.016,NA,NA,"IND","IN",356,"India","Lower middle income",103,2013,2,2014,2,2013,"2"
88,"mic_data_extractio_arm_1","mic_data_extraction",1,"Amabile-Cuevas",2001,2001,2,"Mexico",197,0.012,0.032,NA,NA,"MEX","MX",484,"Mexico","Upper middle income",144,2000,2,2000.5,2,2000,"2"
93,"mic_data_extractio_arm_1","mic_data_extraction",1,"Bass",1994,1990,6,"Japan",104,0.015,0.06,NA,NA,"JPN","JP",392,"Japan","High income",112,2000,1,1992.5,1,1997,"1"
NA,NA,NA,NA,"Bass",1994,1990,6,"Japan",101,0.03,0.06,NA,NA,"JPN","JP",392,"Japan","High income",112,2000,1,1992.5,1,1997,"1"
94,"mic_data_extractio_arm_1","mic_data_extraction",1,"Betlejewska",2002,1999,4,"Poland",50,0.007,0.015,NA,NA,"POL","PL",616,"Poland","High income",177,2001,1,2001,1,2001,"1"
97,"mic_data_extractio_arm_1","mic_data_extraction",1,"Chang",2010,2007,6,"China",94,0.125,0.125,NA,NA,"CHN","CN",156,"China","Upper middle income",46,2008,1,2012,1,2010,"1"
122,"mic_data_extractio_arm_1","mic_data_extraction",1,"Hsueh",2004,2002,6,"Taiwan (Province Of China)",205,0.03,0.03,NA,NA,"TWN","TW",158,"Taiwan, China","High income",218,2002,1,2002,1,2002,"1"
133,"mic_data_extractio_arm_1","mic_data_extraction",1,"Liang",2008,2007,6,"China",145,0.125,0.125,NA,NA,"CHN","CN",156,"China","Upper middle income",46,2008,1,2012,1,2010,"1"
158,"mic_data_extractio_arm_1","mic_data_extraction",1,"Ubukata",2020,2012,6,"Japan",634,0.016,0.016,NA,NA,"JPN","JP",392,"Japan","High income",112,2000,2,1992.5,2,1997,"2"
249,"mic_data_extractio_arm_1","mic_data_extraction",1,"Kohno",2003,1999,NA,"Multiple",1485,0.008,0.008,NA,NA,NA,NA,NA,NA,NA,NA,2001,1,2008,1,2004,"1"
322,"mic_data_extractio_arm_1","mic_data_extraction",1,"Smayevsky",2000,1998,2,"Argentina",96,0.004,0.008,NA,NA,"ARG","AR",32,"Argentina","Upper middle income",11,1999,1,1998,1,1998,"1"
1,NA,NA,NA,NA,NA,2014,3,"Egypt",60,NA,0.12,NA,0.12,"EGY","EG",818,"Egypt, Arab Rep.","Lower middle income",66,2014,1,2014,1,2014,"1"
2,NA,NA,NA,NA,NA,2006,NA,"Unknown",10,NA,0.0204,NA,0.0204,NA,NA,NA,NA,NA,NA,2001,2,2008,1,2004,"2"
5,NA,NA,NA,NA,NA,2006,3,"Morocco",21,NA,0.008,NA,0.008,"MAR","MA",504,"Morocco","Lower middle income",151,2006,1,2006,1,2006,"1"
13,NA,NA,NA,NA,NA,2000,4,"France",31,NA,0.008,NA,0.008,"FRA","FR",250,"France","High income",76,2000,1,2003,1,2001,"1"
13,NA,NA,NA,NA,NA,2000,6,"Hong Kong",25,NA,0.008,NA,0.008,"HKG","HK",344,"Hong Kong SAR, China","High income",100,2001.5,1,2001.5,1,2001,"1"
13,NA,NA,NA,NA,NA,2000,4,"Hungary",28,NA,0.008,NA,0.008,"HUN","HU",348,"Hungary","High income",101,2000,1,2001.5,1,2001,"1"
13,NA,NA,NA,NA,NA,2000,2,"Mexico",1,NA,0.015,NA,0.015,"MEX","MX",484,"Mexico","Upper middle income",144,2000,1,2000.5,1,2000,"1"
13,NA,NA,NA,NA,NA,2000,4,"Spain",1,NA,0.015,NA,0.015,"ESP","ES",724,"Spain","High income",209,2000,1,2004,1,2001,"1"
14,NA,NA,NA,NA,NA,1993,4,"Italy",190,NA,0.06,NA,0.06,"ITA","IT",380,"Italy","High income",110,2000,1,2001,1,2000,"1"
16,NA,NA,NA,NA,NA,1996,4,"France",5,NA,0.004,NA,0.004,"FRA","FR",250,"France","High income",76,2000,1,2003,1,2001,"1"
26,NA,NA,NA,NA,NA,1980,2,"United States Of America (The)",79,NA,0.006,NA,0.006,"USA","US",840,"United States","High income",236,1995,1,1972.5,2,1988,"1"
28,NA,NA,NA,NA,NA,2015,6,"Japan",297,NA,0.016,NA,0.016,"JPN","JP",392,"Japan","High income",112,2000,2,1992.5,2,1997,"2"
32,NA,NA,NA,NA,NA,1977,2,"United States Of America (The)",117,NA,0.014,NA,0.014,"USA","US",840,"United States","High income",236,1995,1,1972.5,2,1988,"1"
35,NA,NA,NA,NA,NA,1996,4,"Austria",50,NA,0.016,NA,0.016,"AUT","AT",40,"Austria","High income",15,2000,1,1999,1,1999,"1"
46,NA,NA,NA,NA,NA,1998,6,"Australia",1,NA,0.016,NA,0.016,"AUS","AU",36,"Australia","High income",14,2000,1,1999,1,1999,"1"
46,NA,NA,NA,NA,NA,1995,2,"Canada",1,NA,0.016,NA,0.016,"CAN","CA",124,"Canada","High income",40,1999,1,1997,1,1998,"1"
46,NA,NA,NA,NA,NA,2003,2,"Canada",1,NA,0.016,NA,0.016,"CAN","CA",124,"Canada","High income",40,1999,2,1997,2,1998,"2"
46,NA,NA,NA,NA,NA,2008,4,"Finland",2,NA,0.0223,NA,0.0223,"FIN","FI",246,"Finland","High income",75,2007,2,2004,2,2005,"2"
46,NA,NA,NA,NA,NA,2010,4,"Finland",1,NA,0.012,NA,0.012,"FIN","FI",246,"Finland","High income",75,2007,2,2004,2,2005,"2"
46,NA,NA,NA,NA,NA,2012,4,"Finland",1,NA,0.016,NA,0.016,"FIN","FI",246,"Finland","High income",75,2007,2,2004,2,2005,"2"
46,NA,NA,NA,NA,NA,2005,2,"United States Of America (The)",1,NA,0.016,NA,0.016,"USA","US",840,"United States","High income",236,1995,2,1972.5,2,1988,"2"
47,NA,NA,NA,NA,NA,1970,6,"Japan",2030,NA,0.0125,NA,0.0125,"JPN","JP",392,"Japan","High income",112,2000,1,1992.5,1,1997,"1"
48,NA,NA,NA,NA,NA,1981,6,"Japan",349,NA,0.0063,NA,0.0063,"JPN","JP",392,"Japan","High income",112,2000,1,1992.5,1,1997,"1"
